event-id,visible,timestamp,location-long,location-lat,external-temperature,gps:hdop,gps:satellite-count,height-above-ellipsoid,tag-tech-spec,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
32050679202,true,2022-08-14 09:00:13.000,9.90696,46.79884,35.0,2.0,6,2032.52,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679872,true,2022-08-14 09:45:14.000,9.90794,46.79878,37.0,1.3,7,2089.47,"7:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680203,true,2022-08-14 10:00:12.000,9.90873,46.79854,37.5,1.7,6,2128.9,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680435,true,2022-08-14 10:15:15.000,9.90921,46.79776,38.0,1.8,5,2153.44,"5:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680382,true,2022-08-14 10:45:13.000,9.90907,46.79855,38.5,1.3,7,2131.04,"7:8","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680248,true,2022-08-14 11:00:13.000,9.90879,46.79844,39.0,2.2,5,2066.33,"5:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680393,true,2022-08-14 11:15:15.000,9.90909,46.79854,39.0,2.2,5,2124.61,"5:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679768,true,2022-08-14 11:45:14.000,9.90769,46.7999,38.0,2.2,6,2148.18,"6:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679302,true,2022-08-14 12:00:14.000,9.90719,46.80009,39.0,2.9,6,2182.02,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679951,true,2022-08-14 12:15:11.000,9.9082,46.79849,39.0,1.6,6,2110.62,"6:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679964,true,2022-08-14 12:30:13.000,9.90824,46.79862,41.5,2.7,5,2124.69,"5:5","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050678498,true,2022-08-14 12:45:11.000,9.90408,46.79359,36.5,1.6,7,1989.21,"7:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677929,true,2022-08-14 13:00:15.000,9.90129,46.79411,33.5,1.3,7,2024.03,"7:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677926,true,2022-08-14 13:15:09.000,9.90126,46.79419,36.5,1.4,6,2018.18,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679005,true,2022-08-14 13:45:08.000,9.90618,46.79792,36.0,1.3,8,2026.19,"8:8","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679417,true,2022-08-14 14:00:15.000,9.90731,46.79804,38.0,1.6,6,1845.14,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679861,true,2022-08-15 09:30:11.000,9.90791,46.79979,38.0,1.4,6,2110.24,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679994,true,2022-08-15 10:30:13.000,9.90833,46.7986,36.5,1.3,6,2093.34,"6:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679774,true,2022-08-15 10:45:14.000,9.90771,46.7988,37.0,1.9,7,2101.59,"7:8","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679927,true,2022-08-15 11:00:10.000,9.90811,46.7989,36.5,1.7,6,2109.57,"6:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679960,true,2022-08-15 11:15:10.000,9.90823,46.79848,39.0,1.3,7,2107.97,"7:8","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680470,true,2022-08-15 11:45:08.000,9.90936,46.79876,36.5,2.0,7,2121.27,"7:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680375,true,2022-08-15 12:00:05.000,9.90905,46.79868,39.0,1.8,7,2129.73,"7:8","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680367,true,2022-08-15 12:15:05.000,9.90903,46.79866,40.5,1.3,7,2129.74,"7:8","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680323,true,2022-08-15 12:45:11.000,9.90893,46.79901,39.5,2.3,5,2117.64,"5:5","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677910,true,2022-08-15 13:00:06.000,9.90108,46.79465,37.0,1.5,6,1994.29,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677968,true,2022-08-15 13:15:10.000,9.90165,46.79402,23.5,1.6,6,1997.53,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677927,true,2022-08-15 13:30:10.000,9.90128,46.79432,29.0,1.9,6,2000.21,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050678922,true,2022-08-15 13:45:09.000,9.90592,46.79757,29.0,1.3,7,1952.28,"7:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050678975,true,2022-08-15 14:00:10.000,9.90609,46.79785,32.5,1.3,8,2049.97,"8:8","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679961,true,2022-08-16 09:15:10.000,9.90823,46.79859,36.5,1.6,6,2123.54,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679796,true,2022-08-16 10:15:07.000,9.90776,46.79872,37.0,1.6,6,2081.73,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679666,true,2022-08-16 10:30:07.000,9.90754,46.79864,37.5,1.1,8,2106.22,"8:8","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677938,true,2022-08-16 10:45:07.000,9.90135,46.79437,38.0,2.0,6,2006.98,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677959,true,2022-08-16 11:00:10.000,9.90159,46.79432,26.5,3.1,5,2024.89,"5:5","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677932,true,2022-08-16 11:15:12.000,9.90133,46.79421,32.0,2.9,6,2004.53,"6:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050677922,true,2022-08-16 11:30:06.000,9.90121,46.79414,38.0,2.7,7,1998.14,"7:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679924,true,2022-08-16 12:00:07.000,9.9081,46.79926,39.5,1.2,7,2103.63,"7:8","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050679965,true,2022-08-16 12:15:10.000,9.90824,46.79937,40.0,1.6,6,2137.39,"6:6","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680112,true,2022-08-16 12:30:09.000,9.90857,46.79907,38.0,1.4,7,2167.16,"7:8","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680301,true,2022-08-16 13:00:09.000,9.90888,46.79855,39.0,1.3,7,2108.97,"7:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680281,true,2022-08-16 13:15:09.000,9.90885,46.79874,39.0,2.0,7,2117.98,"7:7","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
32050680249,true,2022-08-16 13:30:13.000,9.90879,46.79892,39.5,2.1,5,2114.14,"5:5","gps","Nucifraga caryocatactes","6000","K96941","Movement patterns of seed dispersing spotted nutcrackers (Nucifraga caryocatactes)"
